Epoch	Train_Total	Train_Data	Train_PI	Val_Loss	Epoch_Time(s)
0001	-0.521641	0.026666	0.000162	0.000993	180.7587
0002	-1.556466	0.001023	0.000016	0.002157	182.9573
0003	-2.500776	0.000657	0.000009	0.000719	182.3128
0004	-3.433701	0.000388	0.000009	0.000200	182.1600
0005	-4.355978	0.000280	0.000006	0.000261	182.0297
0006	-5.261855	0.000275	0.000006	0.001186	182.0664
0007	-6.129553	0.000253	0.000006	0.000143	182.0430
0008	-7.008564	0.000238	0.000007	0.000118	181.7655
0009	-7.687652	0.000268	0.000003	0.000470	181.6264
0010	-8.388988	0.000216	0.000010	0.000420	182.4170
0011	-9.153673	0.000201	0.000002	0.000371	181.8441
0012	-9.861793	0.000198	0.000008	0.000234	182.0308
0013	-10.549857	0.000175	0.000003	0.000215	182.0789
0014	-11.077204	0.000263	0.000007	0.000346	182.2950
0015	-11.525178	0.000228	0.000005	0.000314	181.9209
0016	-12.020336	0.000224	0.000007	0.000353	183.2315
