Epoch	Train_Total	Train_Data	Train_PI	Val_Loss	Epoch_Time(s)
0001	0.089796	0.086293	0.000035	0.002904	89.0073
0002	0.002247	0.002106	0.000001	0.001385	87.3785
0003	0.001646	0.001516	0.000001	0.001206	88.6427
0004	0.001504	0.001388	0.000001	0.001116	88.1147
0005	0.001388	0.001293	0.000001	0.001132	88.4388
0006	0.001275	0.001186	0.000001	0.000953	86.8431
0007	0.001142	0.001067	0.000001	0.000868	87.8541
0008	0.000996	0.000930	0.000001	0.000808	89.9422
0009	0.000841	0.000772	0.000001	0.000661	89.1798
0010	0.000641	0.000592	0.000000	0.000492	89.0841
0011	0.000473	0.000417	0.000001	0.000400	88.4575
0012	0.000329	0.000286	0.000000	0.000289	88.1172
0013	0.000256	0.000205	0.000001	0.000192	89.2506
0014	0.000199	0.000166	0.000000	0.000173	89.1800
0015	0.000182	0.000148	0.000000	0.000141	90.1706
0016	0.000173	0.000138	0.000000	0.000138	88.6349
0017	0.000158	0.000132	0.000000	0.000148	88.7295
0018	0.000155	0.000129	0.000000	0.000129	89.0754
0019	0.000153	0.000126	0.000000	0.000122	88.1089
0020	0.000145	0.000125	0.000000	0.000125	89.1543
0021	0.000142	0.000122	0.000000	0.000125	85.4817
0022	0.000143	0.000124	0.000000	0.000123	86.6787
0023	0.000139	0.000119	0.000000	0.000134	86.1674
0024	0.000135	0.000119	0.000000	0.000122	85.8151
0025	0.000134	0.000117	0.000000	0.000130	84.6389
0026	0.000132	0.000119	0.000000	0.000118	85.0545
0027	0.000130	0.000116	0.000000	0.000138	85.9775
0028	0.000129	0.000117	0.000000	0.000116	85.1775
0029	0.000127	0.000116	0.000000	0.000123	85.4418
0030	0.000128	0.000117	0.000000	0.000124	85.7238
0031	0.000128	0.000116	0.000000	0.000116	85.3727
0032	0.000127	0.000115	0.000000	0.000123	85.5603
0033	0.000124	0.000115	0.000000	0.000115	84.6851
0034	0.000124	0.000114	0.000000	0.000111	85.1445
0035	0.000123	0.000114	0.000000	0.000120	86.0385
0036	0.000122	0.000113	0.000000	0.000110	85.3783
0037	0.000121	0.000114	0.000000	0.000125	84.8986
0038	0.000121	0.000113	0.000000	0.000114	85.1940
0039	0.000121	0.000112	0.000000	0.000116	86.3006
0040	0.000120	0.000113	0.000000	0.000116	85.2032
0041	0.000127	0.000112	0.000000	0.000127	85.0849
0042	0.000115	0.000111	0.000000	0.000123	85.2922
0043	0.000118	0.000112	0.000000	0.000116	85.8227
0044	0.000119	0.000113	0.000000	0.000129	85.2805
