Epoch	Train_Total	Train_Data	Train_PI	Val_Loss	Epoch_Time(s)
0001	-1.392945	0.019244	0.000178	0.001196	316.0118
0002	-4.160509	0.003253	0.000002	0.001144	323.2683
0003	-6.907589	0.001216	0.000001	0.001062	319.5662
0004	-9.647374	0.000638	0.000001	0.000733	329.2322
0005	-12.370306	0.000407	0.000001	0.000411	338.7651
0006	-14.999595	0.000266	0.000001	0.000248	317.5931
0007	-17.365491	0.000197	0.000000	0.000190	330.3638
0008	-19.461830	0.000167	0.000000	0.000170	332.3862
0009	-21.297506	0.000151	0.000000	0.000152	321.2385
0010	-22.946046	0.000142	0.000000	0.000141	307.7057
0011	-24.481288	0.000135	0.000000	0.000133	289.6079
0012	-25.918597	0.000132	0.000000	0.000132	288.9516
0013	-27.345846	0.000128	0.000000	0.000135	289.2530
0014	-28.877536	0.000124	0.000000	0.000129	289.3841
0015	-30.411609	0.000123	0.000000	0.000124	289.4672
0016	-31.856543	0.000120	0.000000	0.000118	303.5811
0017	-33.020808	0.000119	0.000000	0.000117	329.6418
0018	-34.073242	0.000119	0.000000	0.000114	332.0657
0019	-34.945280	0.000117	0.000000	0.000117	327.6812
0020	-35.895613	0.000118	0.000000	0.000155	331.2428
0021	-36.806547	0.000136	0.000000	0.000130	336.1407
0022	-37.891906	0.000114	0.000000	0.000116	332.7656
0023	-38.441160	0.000132	0.000000	0.000158	331.6672
0024	-39.271802	0.000141	0.000000	0.000213	336.6688
0025	-39.776770	0.000169	0.000000	0.000143	331.9448
0026	-40.185050	0.000194	0.000000	0.000135	329.1784
