Epoch	Train_Total	Train_Data	Train_PI	Val_Loss	Epoch_Time(s)
0001	-2.141801	0.004549	0.000034	0.001101	693.8171
0002	-6.217931	0.000255	0.000002	0.000338	697.8029
0003	-9.570851	0.000233	0.000003	0.000478	699.6684
0004	-12.318431	0.000208	0.000002	0.000302	692.8567
0005	-14.712540	0.000261	0.000005	0.000388	695.5392
0006	-16.995055	0.000290	0.000007	0.000141	698.9130
0007	-18.724813	0.000271	0.000005	0.000392	699.4337
0008	-20.261896	0.000244	0.000005	0.000171	697.3834
0009	-21.586890	0.000285	0.000006	0.000145	696.8563
0010	-22.787922	0.000251	0.000007	0.000231	695.2140
0011	-23.823399	0.000242	0.000006	0.000130	683.5005
0012	-24.925888	0.000227	0.000005	0.000173	685.4350
0013	-26.048232	0.000217	0.000004	0.000219	685.9526
0014	-27.247891	0.000200	0.000003	0.000123	683.1884
0015	-28.260430	0.000195	0.000002	0.000241	683.2031
0016	-29.524527	0.000184	0.000001	0.000139	683.7456
0017	-30.845200	0.000171	0.000001	0.000145	695.9588
0018	-32.059432	0.000164	0.000001	0.000166	695.3655
0019	-33.286087	0.000154	0.000001	0.000117	690.1894
0020	-35.015825	0.000151	0.000000	0.000157	691.2807
0021	-36.421305	0.000154	0.000000	0.000127	694.3391
0022	-37.922242	0.000153	0.000000	0.000177	694.7609
0023	-38.618440	0.000191	0.000000	0.000129	699.8360
0024	-39.650605	0.000171	0.000000	0.000186	694.1000
0025	-40.466269	0.000192	0.000000	0.000173	690.6894
0026	-40.779060	0.000326	0.000000	0.000291	692.8507
0027	-38.387317	0.000317	0.000000	0.000297	694.8649
