Epoch	Train_Total	Train_Data	Train_PI	Val_Loss	Epoch_Time(s)
0001	-0.436507	0.052083	0.000320	0.002011	64.6586
0002	-1.426993	0.006927	0.000011	0.001505	61.0959
0003	-2.358930	0.005586	0.000008	0.001333	62.6325
0004	-3.285042	0.005032	0.000007	0.001139	62.8033
0005	-4.211925	0.003770	0.000005	0.001084	61.8401
0006	-5.138972	0.002831	0.000005	0.001003	62.1172
0007	-6.066021	0.002030	0.000004	0.000901	61.2918
0008	-6.993474	0.001421	0.000005	0.000750	62.1251
0009	-7.920771	0.001022	0.000003	0.000621	61.1736
0010	-8.846739	0.000777	0.000003	0.000516	61.3836
0011	-9.770531	0.000629	0.000003	0.000394	61.3833
0012	-10.690633	0.000527	0.000003	0.000342	61.2324
0013	-11.605682	0.000444	0.000002	0.000293	62.0626
0014	-12.514241	0.000381	0.000003	0.000285	63.8615
0015	-13.410571	0.000339	0.000003	0.000229	62.9907
0016	-14.290954	0.000312	0.000003	0.000223	64.1008
0017	-15.144220	0.000289	0.000003	0.000197	64.6103
0018	-15.959464	0.000273	0.000003	0.000196	63.0385
0019	-16.745214	0.000258	0.000003	0.000185	71.3893
0020	-17.493034	0.000247	0.000003	0.000170	72.3298
0021	-18.193029	0.000235	0.000003	0.000162	59.1421
0022	-18.869188	0.000227	0.000003	0.000155	57.9957
0023	-19.504096	0.000219	0.000003	0.000155	58.3042
0024	-20.131213	0.000212	0.000003	0.000142	56.9136
0025	-20.724235	0.000206	0.000002	0.000154	55.6038
0026	-21.289274	0.000207	0.000002	0.000144	55.5540
0027	-21.859830	0.000197	0.000002	0.000146	56.6978
0028	-22.417511	0.000191	0.000002	0.000130	55.9529
0029	-22.925547	0.000190	0.000002	0.000124	57.0767
0030	-23.440848	0.000185	0.000002	0.000135	58.7010
0031	-23.924262	0.000183	0.000002	0.000133	58.3937
0032	-24.408875	0.000177	0.000002	0.000122	58.5561
0033	-24.878654	0.000177	0.000002	0.000135	58.9544
0034	-25.340053	0.000175	0.000002	0.000128	60.0271
0035	-25.777578	0.000173	0.000002	0.000130	62.3225
0036	-26.210848	0.000171	0.000002	0.000118	59.5923
0037	-26.678426	0.000169	0.000002	0.000120	59.1056
0038	-27.114126	0.000166	0.000002	0.000120	58.8272
0039	-27.524485	0.000167	0.000002	0.000121	58.4510
0040	-28.018410	0.000162	0.000002	0.000116	58.6532
0041	-28.408268	0.000164	0.000002	0.000114	58.7380
0042	-28.765333	0.000161	0.000002	0.000118	58.4030
0043	-29.119565	0.000157	0.000002	0.000109	58.4215
0044	-29.417626	0.000155	0.000003	0.000117	58.4153
0045	-29.575663	0.000157	0.000004	0.000117	58.7085
0046	-29.822103	0.000156	0.000004	0.000112	58.3255
0047	-30.257171	0.000158	0.000002	0.000110	58.4098
0048	-30.675116	0.000156	0.000002	0.000120	58.4286
0049	-31.000334	0.000155	0.000002	0.000114	58.9306
0050	-31.321219	0.000154	0.000002	0.000125	58.6286
0051	-31.678236	0.000163	0.000002	0.000121	58.8667
