Epoch	Train_Total	Train_Data	Train_PI	Val_Loss	Epoch_Time(s)
0001	-0.971299	0.005115	0.000172	0.000424	381.6961
0002	-2.869164	0.000387	0.000016	0.000304	384.2424
0003	-4.723000	0.000261	0.000009	0.000257	381.7182
0004	-6.522991	0.000223	0.000006	0.000298	384.1558
0005	-8.003105	0.000230	0.000005	0.000222	381.7166
0006	-9.458220	0.000204	0.000021	0.000332	381.2301
0007	-10.641902	0.000236	0.000004	0.000153	380.6000
0008	-11.700647	0.000213	0.000006	0.000162	380.2365
0009	-12.847860	0.000395	0.000047	0.000192	380.5739
0010	-14.042844	0.000229	0.000001	0.000247	380.1482
0011	-15.136728	0.000225	0.000015	0.000220	381.8770
0012	-16.412235	0.000267	0.000028	0.000186	381.3280
0013	-17.411255	0.000169	0.000001	0.000275	381.8839
0014	-18.217420	0.000270	0.000030	0.000486	382.7831
0015	-19.173151	0.000164	0.000005	0.000177	380.8897
