Epoch	Train_Total	Train_Data	Train_PI	Val_Loss	Epoch_Time(s)
0001	-1.402648	0.006208	0.000055	0.001024	486.5049
0002	-4.134729	0.000256	0.000002	0.000209	488.4110
0003	-6.760351	0.000173	0.000001	0.000456	486.1600
0004	-8.944291	0.000156	0.000001	0.000269	496.1800
0005	-11.052300	0.000139	0.000002	0.000112	485.4986
0006	-12.738720	0.000154	0.000000	0.000124	495.6822
0007	-14.273883	0.000146	0.000001	0.000115	485.3403
0008	-15.967569	0.000222	0.000011	0.000218	484.3060
0009	-17.573553	0.000209	0.000005	0.000356	495.8687
0010	-18.847837	0.000187	0.000003	0.000129	493.6100
0011	-19.854335	0.000218	0.000009	0.000220	492.7748
0012	-20.770961	0.000188	0.000005	0.000117	499.1870
0013	-21.476777	0.000162	0.000000	0.000134	482.6967
