Epoch	Train_Total	Train_Data	Train_PI	Val_Loss	Epoch_Time(s)
0001	0.018537	0.011417	0.000071	0.000923	213.8727
0002	0.000598	0.000511	0.000001	0.000275	215.5732
0003	0.000408	0.000329	0.000001	0.000307	215.1524
0004	0.000351	0.000279	0.000001	0.000384	214.7191
0005	0.000297	0.000246	0.000001	0.000415	215.6359
0006	0.000282	0.000230	0.000001	0.000447	214.4451
0007	0.000253	0.000212	0.000000	0.000560	214.6900
0008	0.000251	0.000208	0.000000	0.000277	214.8731
0009	0.000226	0.000193	0.000000	0.000397	214.9444
0010	0.000220	0.000187	0.000000	0.000498	215.0721
