Epoch	Train_Total	Train_Data	Train_PI	Val_Loss	Epoch_Time(s)
0001	-2.146219	0.041668	0.000118	0.039588	366.8296
0002	-6.391895	0.001276	0.000003	0.001261	364.8476
0003	-10.539259	0.000474	0.000001	0.015732	371.6078
0004	-14.464799	0.000222	0.000001	0.007949	368.8705
0005	-17.753815	0.000181	0.000001	0.003131	372.2210
0006	-20.428812	0.000175	0.000001	0.001385	373.3983
0007	-22.712346	0.000165	0.000001	0.000856	373.8471
0008	-24.856937	0.000150	0.000001	0.001874	376.2194
0009	-26.822166	0.000146	0.000001	0.000917	375.4434
0010	-28.977777	0.000140	0.000001	0.000310	367.4515
0011	-31.136287	0.000148	0.000000	0.000516	382.9180
0012	-33.000190	0.000135	0.000000	0.000335	364.7669
0013	-34.270803	0.000140	0.000000	0.000272	360.6775
0014	-35.552898	0.000129	0.000000	0.000422	365.5517
0015	-36.489722	0.000140	0.000000	0.000678	373.1531
0016	-37.193750	0.000147	0.000001	0.000541	363.5512
0017	-38.381579	0.000149	0.000000	0.000573	367.3551
0018	-39.216504	0.000178	0.000000	0.000729	373.7385
0019	-39.794165	0.000149	0.000000	0.000928	364.8023
0020	-40.582049	0.000179	0.000000	0.000820	357.5425
0021	-41.744700	0.000171	0.000000	0.000677	341.9993
