Epoch	Train_Total	Train_Data	Train_PI	Val_Loss	Epoch_Time(s)
0001	-0.987488	0.060282	0.000292	0.001609	117.3072
0002	-2.982247	0.001464	0.000009	0.001275	116.3141
0003	-4.878526	0.000905	0.000005	0.000899	123.5754
0004	-6.766684	0.000651	0.000007	0.000510	134.8683
0005	-8.638416	0.000989	0.000006	0.000369	138.8009
0006	-10.514752	0.000352	0.000004	0.000307	140.2305
0007	-12.346748	0.000250	0.000005	0.000226	140.8792
0008	-14.099068	0.000198	0.000004	0.000201	140.6532
0009	-15.714316	0.000179	0.000004	0.000191	129.3013
0010	-17.091600	0.000338	0.000004	0.000174	129.2532
0011	-18.478459	0.000165	0.000004	0.000243	128.9541
0012	-19.686326	0.000154	0.000003	0.000171	129.3663
0013	-20.749521	0.000214	0.000004	0.000155	128.9607
0014	-21.842666	0.000171	0.000003	0.000157	128.3721
0015	-22.941297	0.000144	0.000003	0.000148	128.8843
0016	-23.929768	0.000154	0.000003	0.000140	129.2760
0017	-24.928331	0.000138	0.000002	0.000153	129.0541
0018	-25.879494	0.000136	0.000002	0.000136	130.4790
0019	-26.783446	0.000136	0.000002	0.000135	129.1687
0020	-27.714118	0.000133	0.000002	0.000149	129.1360
0021	-28.643646	0.000134	0.000002	0.000129	129.2357
0022	-29.563717	0.000131	0.000001	0.000133	129.8597
0023	-30.420825	0.000128	0.000002	0.000138	130.2110
0024	-31.212723	0.000124	0.000001	0.000142	131.5094
0025	-31.714736	0.000124	0.000002	0.000136	129.4583
0026	-32.235831	0.000130	0.000002	0.000128	133.3434
0027	-32.841951	0.000120	0.000002	0.000130	118.8370
0028	-33.324049	0.000123	0.000002	0.000137	118.8134
0029	-34.446800	0.000125	0.000001	0.000127	119.6112
0030	-35.266140	0.000120	0.000001	0.000127	118.1777
0031	-35.840858	0.000120	0.000001	0.000130	117.4338
0032	-36.159178	0.000125	0.000001	0.000132	118.3539
0033	-36.468080	0.000129	0.000001	0.000128	118.7195
0034	-37.181521	0.000123	0.000001	0.000137	117.2296
0035	-38.052720	0.000124	0.000001	0.000132	118.3619
0036	-38.784846	0.000124	0.000000	0.000133	118.0824
0037	-39.293162	0.000127	0.000000	0.000131	118.5269
0038	-35.341610	0.000148	0.000001	0.000131	117.3229
