Epoch	Train_Total	Train_Data	Train_PI	Val_Loss	Epoch_Time(s)
0001	-0.522142	0.044122	0.000246	0.001535	78.8896
0002	-1.657212	0.006901	0.000006	0.001316	80.1770
0003	-2.740220	0.005805	0.000005	0.001159	78.1294
0004	-3.819950	0.004791	0.000004	0.001193	78.5456
0005	-4.899283	0.003688	0.000003	0.001049	79.0597
0006	-5.979404	0.002651	0.000003	0.000872	78.6344
0007	-7.059448	0.001781	0.000003	0.000552	78.6461
0008	-8.138487	0.001022	0.000004	0.000217	80.9148
0009	-9.204864	0.000581	0.000003	0.000152	80.0564
0010	-10.253437	0.000397	0.000003	0.000149	80.1163
0011	-11.279350	0.000326	0.000003	0.000131	78.8701
0012	-12.281031	0.000291	0.000003	0.000137	81.4704
0013	-13.238168	0.000269	0.000003	0.000114	80.1581
0014	-14.158924	0.000258	0.000003	0.000114	78.9902
0015	-15.042240	0.000246	0.000002	0.000114	81.0832
0016	-15.881893	0.000238	0.000003	0.000100	79.1022
0017	-16.674880	0.000228	0.000003	0.000107	79.8475
0018	-17.461185	0.000223	0.000002	0.000097	79.9644
0019	-18.201255	0.000218	0.000003	0.000108	80.3726
0020	-18.937234	0.000213	0.000002	0.000115	80.5170
0021	-19.646577	0.000209	0.000002	0.000109	79.3652
0022	-20.336454	0.000206	0.000002	0.000102	79.9059
0023	-20.990063	0.000205	0.000002	0.000098	79.1149
0024	-21.621515	0.000201	0.000002	0.000101	78.3302
0025	-22.254118	0.000199	0.000001	0.000090	78.2200
0026	-22.867114	0.000197	0.000002	0.000101	73.4599
0027	-23.446812	0.000195	0.000002	0.000094	68.9603
0028	-24.018388	0.000194	0.000002	0.000096	69.2340
0029	-24.558820	0.000191	0.000003	0.000092	69.3107
0030	-25.124517	0.000191	0.000001	0.000095	69.4123
0031	-25.680482	0.000190	0.000001	0.000095	68.9260
0032	-26.225205	0.000187	0.000002	0.000088	68.8304
0033	-26.770987	0.000188	0.000001	0.000097	68.8807
0034	-27.322996	0.000186	0.000001	0.000088	69.7596
0035	-27.886189	0.000184	0.000001	0.000088	70.1515
0036	-28.293094	0.000177	0.000003	0.000092	69.0203
0037	-28.777310	0.000184	0.000001	0.000086	68.5941
0038	-29.174895	0.000179	0.000003	0.000087	69.0796
0039	-29.547774	0.000178	0.000002	0.000091	69.0948
0040	-30.008905	0.000184	0.000002	0.000087	70.7395
0041	-30.440090	0.000181	0.000002	0.000091	69.4837
0042	-31.058606	0.000180	0.000001	0.000091	69.1418
0043	-31.493747	0.000180	0.000001	0.000084	70.6833
0044	-31.698948	0.000175	0.000002	0.000084	70.0429
0045	-31.966352	0.000176	0.000002	0.000085	69.3369
0046	-32.299968	0.000177	0.000002	0.000085	68.8796
0047	-32.642499	0.000177	0.000001	0.000087	69.9235
0048	-33.004579	0.000177	0.000001	0.000087	68.9763
0049	-33.370497	0.000179	0.000001	0.000088	68.8803
0050	-33.908738	0.000195	0.000001	0.000086	69.2594
0051	-34.813496	0.000178	0.000000	0.000088	69.3436
