Epoch	Train_Total	Train_Data	Train_PI	Val_Loss	Epoch_Time(s)
0001	-2.176339	0.007914	0.000073	0.000459	608.3941
0002	-6.018609	0.007976	0.000055	0.000457	608.0692
0003	-8.938250	0.000404	0.000003	0.000185	607.0992
0004	-11.650940	0.000298	0.000001	0.000618	607.2942
0005	-14.436064	0.000354	0.000011	0.000287	606.8225
0006	-16.686009	0.000278	0.000005	0.000147	607.4575
0007	-18.296726	0.000335	0.000009	0.000349	606.5012
0008	-19.600469	0.000347	0.000008	0.000191	606.9199
0009	-20.985008	0.000288	0.000005	0.000344	607.4989
0010	-22.029792	0.000334	0.000009	0.000306	606.8508
0011	-23.078203	0.000295	0.000006	0.000392	606.7374
0012	-24.018043	0.000283	0.000006	0.000271	607.8099
0013	-24.624083	0.000329	0.000004	0.000281	607.5752
0014	-25.632342	0.000273	0.000004	0.000144	604.1206
0015	-26.562914	0.000259	0.000003	0.000163	608.3995
0016	-27.669225	0.000204	0.000002	0.000410	607.8111
0017	-28.370592	0.000218	0.000002	0.000216	607.4419
0018	-29.527972	0.000200	0.000001	0.000145	606.4636
0019	-30.394374	0.000202	0.000001	0.000133	644.2052
0020	-31.608862	0.000174	0.000001	0.000135	676.1785
0021	-32.757243	0.000175	0.000000	0.000148	671.1273
0022	-34.313694	0.000155	0.000000	0.000125	672.9630
0023	-35.792778	0.000149	0.000000	0.000161	673.3107
0024	-37.357624	0.000142	0.000000	0.000159	673.6277
0025	-38.886614	0.000150	0.000000	0.000127	676.7973
0026	-40.112492	0.000158	0.000000	0.000145	672.4514
0027	-41.153800	0.000156	0.000000	0.000264	675.2624
0028	-41.738288	0.000219	0.000000	0.000195	674.2425
0029	-27.196620	0.000353	0.000000	0.000348	678.4473
0030	-42.046893	0.000357	0.000000	0.000281	686.0362
