Epoch	Train_Total	Train_Data	Train_PI	Val_Loss	Epoch_Time(s)
0001	-0.361565	0.152475	0.000556	0.002241	62.6140
0002	-1.505046	0.002227	0.000016	0.001211	62.1976
0003	-2.433092	0.007269	0.000006	0.001009	62.4207
0004	-3.377146	0.000979	0.000005	0.000825	62.3649
0005	-4.308561	0.000760	0.000004	0.000686	62.5106
0006	-5.236702	0.000619	0.000003	0.000556	62.4256
0007	-6.162173	0.000523	0.000004	0.000532	62.3714
0008	-7.086897	0.000407	0.000003	0.000415	62.3522
0009	-8.008421	0.000436	0.000003	0.000408	62.6232
0010	-8.931531	0.000344	0.000003	0.000341	62.3725
0011	-9.850774	0.000302	0.000003	0.000300	62.3342
0012	-10.761862	0.000303	0.000003	0.000288	62.0273
0013	-11.669820	0.000249	0.000002	0.000296	62.1756
0014	-12.565975	0.000233	0.000002	0.000238	62.2358
0015	-13.446323	0.000215	0.000002	0.000238	62.5536
0016	-14.307189	0.000206	0.000003	0.000211	62.5301
0017	-15.133528	0.000193	0.000002	0.000234	62.2187
0018	-15.914560	0.000190	0.000003	0.000214	62.2595
0019	-16.649863	0.000183	0.000003	0.000205	62.9278
0020	-17.316571	0.000294	0.000003	0.000190	62.8550
0021	-18.012231	0.000180	0.000002	0.000194	62.6362
0022	-18.656415	0.000168	0.000004	0.000184	58.6718
0023	-19.275665	0.000164	0.000003	0.000178	60.5958
0024	-19.867248	0.000163	0.000003	0.000176	63.0088
0025	-20.433882	0.000160	0.000002	0.000179	62.8533
0026	-20.973381	0.000157	0.000003	0.000167	62.4930
0027	-21.501719	0.000156	0.000003	0.000171	62.5410
0028	-22.048922	0.000152	0.000003	0.000175	62.0668
0029	-22.556318	0.000152	0.000002	0.000158	62.4559
0030	-23.048157	0.000149	0.000002	0.000168	62.3426
0031	-23.535621	0.000149	0.000003	0.000156	62.5566
0032	-24.010876	0.000145	0.000003	0.000171	62.5583
0033	-24.471967	0.000145	0.000002	0.000162	62.6349
0034	-24.910856	0.000149	0.000002	0.000158	62.7474
0035	-25.329362	0.000151	0.000003	0.000161	62.7541
0036	-25.777775	0.000146	0.000002	0.000151	62.3433
0037	-26.266379	0.000137	0.000002	0.000147	62.3907
0038	-26.729770	0.000137	0.000002	0.000154	62.3865
0039	-27.214277	0.000136	0.000002	0.000153	62.2595
0040	-27.670507	0.000135	0.000001	0.000150	62.3349
0041	-28.139093	0.000134	0.000001	0.000154	63.1892
0042	-28.585140	0.000131	0.000002	0.000140	63.1788
0043	-29.001939	0.000134	0.000001	0.000151	62.2394
0044	-29.516063	0.000129	0.000001	0.000153	62.7506
0045	-29.953644	0.000127	0.000002	0.000136	62.4141
0046	-30.332789	0.000129	0.000001	0.000150	62.4948
0047	-30.793726	0.000124	0.000001	0.000137	62.4968
0048	-31.102091	0.000125	0.000001	0.000157	62.6622
0049	-31.508302	0.000126	0.000001	0.000135	62.1777
0050	-31.919604	0.000125	0.000001	0.000139	62.3597
0051	-32.197629	0.000119	0.000001	0.000138	62.7357
0052	-32.404252	0.000119	0.000001	0.000135	62.5988
0053	-32.624681	0.000121	0.000001	0.000139	62.8302
0054	-32.910244	0.000124	0.000001	0.000308	62.6188
0055	-33.342700	0.000137	0.000001	0.000151	62.4378
0056	-33.996436	0.000120	0.000001	0.000138	63.2291
0057	-34.417135	0.000118	0.000000	0.000141	62.1276
