Epoch	Train_Total	Train_Data	Train_PI	Val_Loss	Epoch_Time(s)
0001	-0.442655	0.024442	0.000139	0.001381	182.2831
0002	-1.334588	0.000949	0.000029	0.001129	183.1014
0003	-2.175109	0.000687	0.000014	0.000519	181.8618
0004	-3.007334	0.000465	0.000013	0.000419	182.1557
0005	-3.838077	0.000302	0.000012	0.000390	181.4417
0006	-4.664442	0.000249	0.000009	0.000191	182.1714
0007	-5.417083	0.001555	0.000125	0.000998	182.0563
0008	-6.210531	0.000325	0.000005	0.001195	182.7246
0009	-6.942564	0.000269	0.000004	0.000650	183.1447
0010	-7.638340	0.000238	0.000010	0.000182	181.7621
0011	-8.327580	0.000221	0.000007	0.000530	181.8329
0012	-8.988851	0.000233	0.000011	0.000467	181.5949
0013	-9.626827	0.000224	0.000009	0.000536	181.7028
0014	-10.114191	0.000251	0.000001	0.000613	181.6546
0015	-10.524901	0.000233	0.000004	0.000402	182.1930
0016	-10.979607	0.000247	0.000018	0.001042	185.2027
0017	-11.494024	0.000240	0.000003	0.000316	184.7867
0018	-11.969865	0.000206	0.000002	0.000140	184.8263
0019	-12.451254	0.000206	0.000006	0.000151	188.3370
0020	-12.956403	0.000215	0.000008	0.000306	184.0499
0021	-13.469116	0.000191	0.000003	0.000381	186.0172
0022	-13.960533	0.000193	0.000006	0.000262	183.3776
0023	-14.454519	0.000200	0.000011	0.000134	186.1515
0024	-14.952248	0.000188	0.000003	0.000145	187.5529
0025	-15.443728	0.000192	0.000008	0.000124	183.5147
0026	-15.939113	0.000183	0.000004	0.000269	184.5317
0027	-16.422993	0.000191	0.000018	0.000349	184.8285
0028	-16.925965	0.000198	0.000017	0.000252	183.3995
0029	-17.414848	0.000177	0.000002	0.000258	183.3815
0030	-17.819814	0.000371	0.000083	0.000141	183.4513
0031	-18.271666	0.000233	0.000001	0.000133	182.9442
0032	-18.632194	0.000306	0.000018	0.000206	184.5410
0033	-19.144790	0.000230	0.000003	0.000369	184.2180
